id,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
589,60,male,2,own,little,little,2246,12,furniture/equipment
22,48,male,1,rent,little,little,2241,10,car
662,50,male,2,own,little,NA,2241,21,furniture/equipment
385,25,female,2,own,little,NA,2238,18,radio/TV
850,33,male,2,rent,little,little,2235,20,car
54,57,male,2,free,little,moderate,2225,36,car
773,52,male,2,own,moderate,NA,2223,24,radio/TV
865,20,female,2,rent,quite rich,NA,2221,15,furniture/equipment
762,24,male,1,own,little,little,2214,12,radio/TV
380,39,male,2,own,NA,little,2212,20,furniture/equipment
864,25,male,1,rent,little,NA,2210,10,furniture/equipment
406,43,male,2,own,NA,NA,2197,24,car
898,33,female,1,rent,NA,NA,2186,15,furniture/equipment
882,36,male,2,own,NA,moderate,2181,30,car
66,29,female,2,own,little,NA,2171,12,radio/TV
892,38,male,1,own,little,little,2171,12,car
861,28,male,2,own,little,NA,2169,18,business
252,24,female,2,own,little,moderate,2150,30,car
257,29,male,2,free,little,little,2149,12,radio/TV
372,23,female,2,rent,little,NA,2146,10,furniture/equipment
951,24,male,2,own,little,little,2145,36,business
913,28,male,2,own,rich,NA,2142,11,business
232,35,male,2,own,moderate,NA,2141,12,radio/TV
434,25,male,2,own,little,little,2136,9,furniture/equipment
20,48,male,2,own,little,NA,2134,9,car
584,52,female,3,free,NA,NA,2133,12,car
117,27,female,2,rent,NA,little,2132,10,furniture/equipment
761,24,female,2,rent,little,little,2124,18,furniture/equipment
494,39,male,1,rent,little,little,2122,12,car
125,30,male,2,own,little,little,2121,12,car
709,37,male,1,own,little,moderate,2118,9,radio/TV
626,41,male,2,own,little,rich,2116,6,furniture/equipment
193,29,male,2,rent,little,NA,2108,6,radio/TV
336,23,female,1,own,little,moderate,2101,13,radio/TV
37,37,male,2,own,little,rich,2100,18,radio/TV
2,49,male,1,own,little,NA,2096,12,education
673,24,male,2,own,quite rich,NA,2080,6,car
49,28,female,2,own,moderate,NA,2073,12,radio/TV
24,26,male,2,own,NA,NA,2069,10,furniture/equipment
172,34,female,3,own,little,moderate,2064,24,furniture/equipment
937,30,male,3,rent,little,moderate,2063,6,radio/TV
433,33,male,2,own,little,NA,2058,24,repairs
608,33,male,2,own,little,NA,2051,18,radio/TV
405,22,male,2,own,little,moderate,2039,24,radio/TV
585,20,female,2,rent,little,little,2039,18,furniture/equipment
541,60,male,2,free,little,NA,2032,24,car
254,24,male,2,own,NA,moderate,2030,9,furniture/equipment
421,30,male,2,own,NA,moderate,2028,12,car
984,30,male,1,own,little,NA,2028,24,furniture/equipment
546,37,female,2,own,little,NA,2022,24,car
96,61,female,2,own,NA,NA,2012,12,education
923,30,male,2,rent,little,moderate,2002,12,car
553,27,male,2,own,moderate,moderate,1995,12,car
731,21,male,1,rent,little,little,1987,24,radio/TV
133,47,male,2,free,little,NA,1984,18,furniture/equipment
633,19,female,2,rent,little,NA,1980,9,furniture/equipment
625,35,male,2,own,NA,NA,1979,15,radio/TV
74,40,male,3,own,NA,little,1977,36,education
410,20,female,2,own,little,moderate,1967,24,radio/TV
591,42,female,2,rent,NA,moderate,1965,24,car
178,31,male,3,rent,little,NA,1963,12,radio/TV
58,23,female,3,own,little,rich,1961,18,car
393,31,female,2,own,little,little,1957,6,radio/TV
62,61,male,3,free,little,moderate,1953,36,business
464,34,male,2,own,little,NA,1950,18,business
842,23,female,2,own,little,NA,1943,18,repairs
785,35,male,1,own,rich,moderate,1941,18,business
781,60,male,2,own,rich,NA,1940,24,car
876,36,male,3,free,little,little,1940,18,radio/TV
321,32,male,2,own,little,little,1938,24,radio/TV
992,23,male,1,rent,NA,little,1936,18,radio/TV
169,31,male,2,own,little,moderate,1935,24,business
206,43,male,2,own,little,NA,1935,12,furniture/equipment
490,26,male,2,own,little,NA,1934,12,radio/TV
559,31,male,1,own,little,moderate,1928,18,furniture/equipment
577,33,female,2,own,NA,NA,1927,24,education
248,26,male,2,own,little,rich,1925,24,furniture/equipment
124,27,female,2,rent,NA,moderate,1924,18,furniture/equipment
151,38,male,2,own,little,NA,1924,10,radio/TV
651,37,male,1,own,little,moderate,1922,12,furniture/equipment
103,35,male,2,rent,little,moderate,1919,9,furniture/equipment
935,30,male,3,own,moderate,moderate,1919,30,radio/TV
30,36,male,2,own,rich,moderate,1913,18,business
213,66,male,3,own,little,rich,1908,30,business
699,40,male,3,rent,little,rich,1905,15,education
279,29,male,3,rent,moderate,NA,1901,24,radio/TV
159,34,male,1,own,NA,NA,1898,6,radio/TV
954,29,female,2,own,little,little,1893,12,car
401,28,male,2,own,NA,moderate,1887,18,business
440,39,male,3,own,little,NA,1884,12,car
727,25,female,2,rent,little,little,1882,18,radio/TV
139,44,female,1,rent,little,rich,1881,12,radio/TV
644,32,male,3,own,little,little,1880,18,radio/TV
432,36,male,3,free,little,little,1872,6,furniture/equipment
928,58,male,2,own,NA,NA,1867,30,radio/TV
331,30,female,2,own,moderate,NA,1864,18,education
128,34,male,3,own,little,moderate,1860,12,car
623,22,female,2,rent,little,little,1858,12,furniture/equipment
643,33,male,2,own,little,NA,1851,24,radio/TV
944,46,female,2,rent,little,little,1845,15,furniture/equipment
998,23,male,2,free,little,little,1845,45,radio/TV
446,34,female,2,own,little,little,1842,36,car
602,34,female,1,free,little,moderate,1837,24,education
120,25,female,2,own,little,little,1835,21,radio/TV
891,46,male,2,own,little,NA,1829,15,radio/TV
235,30,male,3,own,little,little,1823,24,radio/TV
390,30,male,3,own,little,NA,1820,18,car
68,37,male,2,free,little,NA,1819,36,education
920,28,female,2,own,little,NA,1817,18,furniture/equipment
614,22,female,2,own,little,NA,1808,18,furniture/equipment
23,44,male,2,own,moderate,moderate,1804,12,car
698,24,male,2,own,little,NA,1800,18,radio/TV
745,28,male,1,own,little,little,1797,13,business
801,48,female,1,rent,little,moderate,1795,18,radio/TV
809,26,female,0,rent,little,moderate,1778,15,car
122,24,male,1,rent,little,NA,1768,12,furniture/equipment
363,21,male,2,rent,little,NA,1766,6,furniture/equipment
83,58,female,1,own,little,little,1755,24,vacation/others
551,45,male,1,own,quite rich,NA,1750,6,radio/TV
930,24,male,1,own,little,little,1747,24,furniture/equipment
348,34,male,1,own,moderate,NA,1743,6,business
989,48,male,1,own,little,moderate,1743,24,radio/TV
960,30,male,2,rent,little,NA,1740,6,radio/TV
995,31,female,1,own,little,NA,1736,12,furniture/equipment
461,36,male,2,own,little,little,1721,15,car
965,26,female,2,own,NA,moderate,1715,30,radio/TV
114,35,male,2,own,quite rich,little,1680,12,radio/TV
931,22,female,2,own,little,moderate,1670,9,radio/TV
466,29,female,1,rent,little,little,1659,24,radio/TV
260,27,male,2,own,little,little,1657,12,furniture/equipment
769,63,male,1,own,little,NA,1655,12,radio/TV
182,40,male,1,own,NA,little,1647,21,car
441,30,female,2,own,little,little,1620,12,furniture/equipment
261,55,female,2,own,little,little,1603,24,radio/TV
825,30,male,2,own,little,little,1602,21,car
413,40,male,1,rent,quite rich,NA,1597,10,car
800,54,male,2,free,little,NA,1597,24,education
241,51,male,2,own,little,NA,1595,6,radio/TV
897,35,female,2,own,rich,NA,1592,12,furniture/equipment
423,34,male,3,own,moderate,NA,1591,21,furniture/equipment
497,40,male,2,own,little,NA,1585,24,furniture/equipment
149,46,male,2,own,rich,NA,1582,18,radio/TV
167,20,female,2,own,rich,moderate,1577,11,furniture/equipment
281,50,male,2,own,little,NA,1574,12,furniture/equipment
592,36,female,1,own,rich,NA,1572,21,business
991,34,male,1,own,moderate,NA,1569,15,radio/TV
82,24,female,1,rent,moderate,NA,1568,18,business
12,22,female,2,own,little,moderate,1567,12,radio/TV
843,50,male,2,own,little,NA,1559,24,business
754,55,male,2,free,rich,NA,1555,12,repairs
817,24,female,2,rent,little,NA,1554,6,radio/TV
565,23,female,2,rent,moderate,moderate,1553,24,radio/TV
631,44,male,2,own,little,little,1553,18,furniture/equipment
547,32,male,2,own,little,NA,1552,24,radio/TV
799,35,male,0,own,NA,moderate,1549,9,car
561,24,male,1,rent,little,little,1546,24,radio/TV
941,31,male,1,own,little,NA,1546,10,car
234,42,male,1,own,little,NA,1544,4,radio/TV
305,33,male,2,own,rich,NA,1543,6,furniture/equipment
365,36,male,2,own,little,NA,1542,12,business
680,56,female,2,own,little,NA,1538,6,education
61,50,male,2,own,NA,moderate,1537,15,radio/TV
540,23,male,2,rent,little,moderate,1534,12,radio/TV
267,38,female,2,own,little,NA,1533,24,radio/TV
948,43,male,1,own,little,NA,1533,18,furniture/equipment
526,31,female,2,own,moderate,NA,1532,15,education
621,32,male,2,own,little,NA,1530,18,car
75,66,male,3,free,little,little,1526,12,car
327,34,female,2,own,rich,NA,1525,24,car
339,31,male,1,own,little,moderate,1521,10,furniture/equipment
283,63,male,2,own,NA,NA,1520,15,furniture/equipment
399,43,female,1,own,rich,NA,1516,24,radio/TV
970,22,male,2,own,moderate,moderate,1514,15,repairs
449,61,male,2,own,rich,moderate,1512,15,repairs
717,32,male,3,free,little,NA,1505,18,radio/TV
527,42,male,1,own,little,NA,1503,4,radio/TV
532,41,male,2,rent,little,NA,1503,12,car
195,34,female,3,own,little,moderate,1501,9,education
934,23,female,2,own,little,little,1498,12,radio/TV
204,38,male,1,own,little,NA,1495,12,car
314,29,male,1,own,NA,rich,1494,4,car
638,34,female,2,own,little,NA,1493,12,radio/TV
435,25,male,2,own,NA,moderate,1484,12,radio/TV
774,66,male,0,free,quite rich,rich,1480,12,car
228,22,male,2,own,little,NA,1478,9,radio/TV
479,44,male,2,own,little,little,1478,15,furniture/equipment
682,33,male,2,own,little,NA,1478,15,radio/TV
34,33,female,3,own,little,rich,1474,12,furniture/equipment
855,33,male,2,own,moderate,NA,1474,24,car
400,39,male,2,own,little,NA,1473,18,radio/TV
852,35,male,2,free,little,NA,1471,15,radio/TV
100,41,male,1,rent,moderate,NA,1469,24,car
345,43,female,1,own,little,NA,1459,15,radio/TV
943,42,male,1,own,little,NA,1455,4,car
679,26,female,2,own,little,NA,1453,18,radio/TV
110,31,male,2,own,moderate,moderate,1449,6,business
389,27,female,2,own,little,NA,1449,9,business
282,49,male,1,own,NA,rich,1445,18,radio/TV
632,23,male,2,own,NA,moderate,1444,15,radio/TV
596,23,female,2,rent,little,little,1442,24,car
853,32,male,1,free,little,little,1442,18,car
627,29,male,2,own,moderate,moderate,1437,9,car
985,25,female,2,rent,little,little,1433,15,furniture/equipment
207,26,male,2,own,little,moderate,1424,12,domestic appliances
448,55,female,3,own,NA,rich,1424,12,furniture/equipment
878,27,male,3,free,little,little,1422,9,car
488,35,male,1,rent,moderate,NA,1418,10,car
173,33,male,2,own,little,moderate,1414,8,radio/TV
209,55,male,2,own,rich,NA,1413,12,car
508,28,male,2,own,little,NA,1413,24,radio/TV
85,29,female,3,own,little,NA,1412,12,business
109,35,male,2,own,quite rich,moderate,1410,14,business
782,31,male,1,own,little,moderate,1410,12,education
91,54,male,2,own,little,little,1409,12,car
987,64,female,2,own,moderate,NA,1409,13,radio/TV
14,28,female,2,rent,little,little,1403,15,car
271,37,female,2,rent,quite rich,NA,1402,12,furniture/equipment
45,35,female,3,own,little,NA,1393,11,car
635,47,male,2,own,little,NA,1393,12,education
758,31,male,2,own,little,NA,1393,24,car
60,27,male,2,own,little,moderate,1391,9,business
582,26,female,2,rent,little,NA,1388,9,furniture/equipment
647,26,female,2,own,quite rich,NA,1386,12,car
903,40,male,2,rent,NA,NA,1386,15,radio/TV
196,28,female,2,own,little,NA,1382,6,radio/TV
872,26,male,2,own,moderate,little,1382,24,business
414,35,female,2,own,NA,little,1381,24,car
702,47,female,2,free,moderate,rich,1377,24,radio/TV
636,28,female,2,own,quite rich,NA,1376,24,radio/TV
25,36,male,1,own,little,little,1374,6,furniture/equipment
536,75,female,3,own,NA,little,1374,6,car
566,36,male,2,own,little,little,1372,12,car
775,25,female,2,rent,NA,little,1371,24,car
922,22,female,2,rent,little,little,1366,9,radio/TV
219,64,female,2,own,little,NA,1364,10,car
848,59,male,2,own,little,little,1364,9,radio/TV
516,40,male,1,own,little,little,1361,6,car
185,31,male,2,own,little,NA,1360,15,radio/TV
594,40,male,3,own,NA,little,1358,24,vacation/others
634,25,female,1,own,little,moderate,1355,24,car
47,23,female,0,rent,quite rich,little,1352,6,car
686,27,male,2,own,NA,rich,1347,10,radio/TV
150,42,male,2,free,moderate,NA,1346,6,radio/TV
819,26,male,2,own,little,little,1345,18,radio/TV
302,37,male,1,own,NA,rich,1344,24,car
929,43,male,1,own,little,little,1344,12,car
871,46,male,2,own,little,rich,1343,6,car
816,62,male,2,own,quite rich,NA,1338,6,domestic appliances
720,34,male,3,own,little,rich,1337,9,radio/TV
545,43,male,2,free,little,little,1333,24,car
555,22,male,2,own,little,moderate,1331,12,radio/TV
383,26,male,2,own,little,rich,1330,12,car
499,28,male,2,own,moderate,rich,1323,6,car
875,40,female,2,own,rich,moderate,1322,11,car
94,54,male,2,own,rich,moderate,1318,12,car
726,47,male,1,own,quite rich,NA,1316,15,radio/TV
428,20,male,2,own,little,NA,1313,9,furniture/equipment
533,26,male,2,own,moderate,NA,1311,24,radio/TV
505,27,male,1,own,NA,NA,1309,10,car
641,38,male,1,own,little,moderate,1308,15,repairs
498,32,male,1,own,little,moderate,1301,18,radio/TV
609,45,male,2,free,NA,NA,1300,15,car
756,74,male,0,own,little,rich,1299,6,car
660,23,male,2,rent,little,rich,1297,12,radio/TV
10,25,female,2,rent,little,moderate,1295,12,car
86,27,female,2,own,little,moderate,1295,18,furniture/equipment
238,35,female,2,own,little,NA,1291,12,radio/TV
587,21,male,1,own,little,little,1289,12,furniture/equipment
156,48,male,2,own,moderate,little,1288,9,repairs
297,45,male,1,own,NA,NA,1287,10,car
437,37,female,2,own,rich,NA,1287,24,car
755,32,female,2,rent,NA,little,1285,24,car
382,25,female,2,rent,NA,NA,1283,22,car
15,32,female,1,own,moderate,little,1282,24,radio/TV
155,20,female,2,rent,little,little,1282,12,furniture/equipment
904,36,male,3,own,little,NA,1278,24,radio/TV
337,24,female,2,rent,NA,little,1275,15,domestic appliances
604,23,female,2,own,little,rich,1275,10,furniture/equipment
729,36,male,2,own,rich,rich,1275,24,business
747,37,female,1,own,little,little,1274,12,car
757,39,male,2,free,NA,rich,1271,15,radio/TV
33,57,male,1,rent,NA,NA,1264,12,business
979,25,male,2,rent,moderate,moderate,1264,15,car
52,25,male,2,own,little,NA,1262,12,radio/TV
162,36,male,2,own,quite rich,NA,1262,15,domestic appliances
277,49,male,1,own,NA,little,1262,12,furniture/equipment
245,25,male,2,own,little,NA,1258,24,business
797,22,female,1,rent,little,NA,1258,12,furniture/equipment
975,57,female,1,own,quite rich,rich,1258,24,radio/TV
544,61,male,1,own,little,NA,1255,12,car
847,28,male,2,own,little,NA,1249,24,car
355,23,male,1,own,little,moderate,1246,24,car
474,33,male,2,own,little,moderate,1245,18,radio/TV
445,41,female,1,rent,NA,NA,1244,9,education
135,38,female,2,own,NA,NA,1240,12,radio/TV
611,48,female,1,free,moderate,rich,1240,10,car
360,61,male,2,free,NA,moderate,1239,18,education
473,36,male,3,own,NA,NA,1238,6,education
308,24,female,2,own,little,moderate,1237,8,furniture/equipment
492,27,female,2,own,moderate,NA,1237,6,radio/TV
350,23,female,2,rent,little,NA,1236,9,domestic appliances
695,50,male,2,rent,quite rich,NA,1236,6,car
264,32,male,1,own,little,NA,1231,10,car
955,57,female,3,rent,rich,little,1231,24,radio/TV
722,24,female,1,own,little,little,1228,12,car
38,37,male,2,own,little,rich,1225,10,domestic appliances
932,30,male,2,own,little,NA,1224,9,car
398,46,male,2,rent,little,moderate,1223,12,car
792,27,male,2,own,NA,NA,1221,6,furniture/equipment
588,47,male,1,own,little,little,1217,18,domestic appliances
503,38,male,2,own,moderate,moderate,1216,24,radio/TV
831,23,female,2,rent,little,little,1216,18,car
81,47,male,2,own,quite rich,NA,1213,15,radio/TV
485,47,male,3,own,little,moderate,1209,6,car
504,24,female,2,rent,little,little,1207,24,car
708,25,female,2,own,little,moderate,1206,9,radio/TV
247,35,male,2,rent,moderate,NA,1204,6,car
518,43,male,2,own,moderate,little,1203,6,car
481,26,male,2,own,little,moderate,1201,24,car
221,23,female,2,rent,NA,little,1200,12,education
13,60,male,1,own,little,little,1199,24,car
554,67,female,3,own,little,moderate,1199,9,education
711,35,female,2,free,little,little,1198,6,education
972,29,female,0,rent,little,little,1193,24,car
429,55,female,0,free,little,little,1190,18,repairs
790,39,female,2,own,little,moderate,1188,21,business
243,27,female,2,own,little,NA,1185,12,business
187,68,male,0,free,little,moderate,1175,16,car
0,67,male,2,own,NA,little,1169,6,radio/TV
894,29,male,2,own,NA,NA,1169,18,radio/TV
201,27,male,1,own,little,little,1168,12,car
72,51,male,3,free,little,little,1164,8,vacation/others
484,44,male,2,own,quite rich,NA,1163,12,car
41,26,male,2,own,quite rich,moderate,1158,12,radio/TV
765,40,male,1,own,little,moderate,1155,12,radio/TV
259,57,female,1,own,moderate,NA,1154,11,radio/TV
957,37,male,1,own,little,moderate,1154,9,radio/TV
427,46,male,2,own,rich,NA,1149,18,radio/TV
713,25,male,1,own,little,little,1138,9,radio/TV
349,32,male,2,free,rich,moderate,1136,9,education
166,33,female,2,own,little,little,1131,18,furniture/equipment
386,21,female,2,rent,NA,NA,1126,18,radio/TV
502,49,male,2,own,moderate,rich,1126,9,radio/TV
700,29,female,1,rent,quite rich,NA,1123,12,furniture/equipment
524,26,female,1,own,little,moderate,1113,18,radio/TV
89,28,male,2,own,little,little,1108,12,repairs
905,20,male,3,rent,little,little,1107,12,radio/TV
696,29,male,2,own,little,moderate,1103,12,radio/TV
820,27,male,2,own,little,NA,1101,12,car
883,65,female,0,own,little,NA,1098,18,radio/TV
288,49,female,2,own,little,moderate,1092,12,radio/TV
574,27,male,1,own,little,moderate,1082,9,radio/TV
835,48,male,2,own,little,little,1082,12,car
290,26,male,2,own,little,NA,1076,12,business
329,28,male,2,own,little,moderate,1068,6,radio/TV
580,30,male,2,own,little,moderate,1056,18,car
161,30,female,2,own,little,NA,1055,18,car
407,27,male,2,own,little,little,1053,15,radio/TV
663,35,male,3,own,little,moderate,1050,6,furniture/equipment
926,21,female,2,rent,little,little,1049,18,furniture/equipment
741,23,male,1,own,little,moderate,1048,10,radio/TV
664,50,female,1,own,little,rich,1047,6,education
419,33,female,2,own,NA,moderate,1042,18,car
303,49,male,2,own,little,little,1038,10,car
478,39,male,1,own,moderate,moderate,1037,12,business
324,36,female,2,own,little,NA,1028,18,car
289,48,male,2,own,little,little,1024,24,radio/TV
67,22,male,2,own,rich,moderate,1007,12,car
269,25,male,2,own,NA,NA,999,24,radio/TV
550,23,female,2,own,NA,NA,996,12,repairs
391,19,female,1,rent,rich,moderate,983,12,furniture/equipment
751,23,female,1,own,little,little,976,18,car
803,35,male,2,own,NA,NA,976,12,radio/TV
690,25,male,2,own,little,little,975,15,furniture/equipment
483,30,female,2,own,rich,NA,960,15,furniture/equipment
351,29,female,2,own,little,moderate,959,9,furniture/equipment
422,47,male,1,own,little,moderate,958,12,car
197,27,female,2,rent,moderate,moderate,951,12,furniture/equipment
170,33,male,2,rent,little,little,950,15,car
648,38,male,2,free,little,rich,947,24,car
409,28,male,2,own,quite rich,rich,939,12,car
579,27,male,1,own,little,NA,937,24,education
200,52,male,2,own,quite rich,NA,936,9,education
102,24,female,2,own,little,NA,932,6,radio/TV
215,39,female,1,own,NA,moderate,932,6,education
595,32,female,1,own,moderate,moderate,931,6,car
807,65,male,2,own,NA,NA,930,12,radio/TV
942,31,male,2,own,NA,NA,929,24,furniture/equipment
697,38,female,0,own,little,NA,926,12,car
601,30,female,2,own,little,moderate,918,9,furniture/equipment
240,29,female,2,own,NA,little,915,24,car
164,36,male,2,own,quite rich,NA,909,36,car
810,26,male,2,own,little,moderate,907,8,business
203,21,male,2,rent,little,little,902,12,education
661,23,male,2,own,NA,little,900,12,car
856,40,female,2,own,NA,NA,894,10,education
656,41,male,1,own,little,moderate,888,12,car
836,21,female,2,own,NA,NA,886,12,radio/TV
184,36,male,2,own,little,moderate,884,18,car
346,23,male,2,own,little,moderate,882,13,radio/TV
873,24,female,2,own,NA,NA,874,15,domestic appliances
233,25,male,1,own,little,moderate,866,18,radio/TV
146,39,female,2,own,little,little,860,6,car
377,36,male,2,free,NA,NA,846,7,radio/TV
752,23,female,1,rent,moderate,moderate,841,12,business
783,23,female,1,own,moderate,moderate,836,12,car
573,22,female,1,own,little,little,806,15,business
997,38,male,2,own,little,NA,804,12,radio/TV
265,37,male,2,own,little,moderate,802,15,radio/TV
403,27,male,1,own,little,NA,802,14,car
92,33,female,1,own,NA,NA,797,12,radio/TV
885,53,female,2,own,little,little,795,12,education
723,66,female,1,own,quite rich,moderate,790,9,radio/TV
55,26,male,1,own,NA,NA,783,6,car
123,63,male,2,free,little,rich,781,10,car
358,28,male,2,own,little,NA,776,12,radio/TV
137,66,male,1,own,quite rich,moderate,766,12,radio/TV
171,26,female,2,own,little,NA,763,12,furniture/equipment
732,44,female,1,own,little,moderate,760,8,radio/TV
510,26,male,2,own,little,little,759,12,car
463,38,male,2,own,NA,moderate,754,12,education
976,64,female,2,own,little,moderate,753,6,radio/TV
640,27,female,0,own,little,little,750,18,education
936,28,female,1,own,little,rich,745,9,radio/TV
610,22,female,2,own,moderate,little,741,12,domestic appliances
823,47,male,1,own,little,little,731,8,car
71,46,male,1,rent,NA,NA,730,7,radio/TV
307,33,male,1,own,moderate,little,727,12,radio/TV
354,46,male,2,free,quite rich,NA,727,10,education
443,41,male,1,own,little,NA,719,12,education
246,52,male,2,own,little,NA,717,12,radio/TV
798,54,male,2,own,NA,NA,717,24,car
140,27,male,0,own,rich,rich,709,6,car
849,57,male,1,own,little,little,709,12,radio/TV
316,38,male,1,own,little,little,708,12,furniture/equipment
222,30,male,2,own,little,NA,707,12,radio/TV
126,40,male,1,own,little,little,701,12,radio/TV
318,32,male,2,own,little,NA,701,12,education
519,36,male,2,free,NA,NA,700,6,radio/TV
925,46,male,2,own,little,little,697,12,car
759,35,male,2,own,little,little,691,12,car
313,25,male,1,own,little,moderate,685,12,car
649,40,male,1,rent,little,little,684,12,education
562,29,female,2,own,little,rich,683,6,radio/TV
147,51,female,2,own,moderate,NA,682,12,car
188,20,male,2,own,moderate,little,674,12,radio/TV
300,54,female,0,own,little,NA,672,6,car
250,39,female,1,own,rich,little,666,6,car
529,41,male,1,own,little,little,662,6,car
436,23,male,1,rent,quite rich,NA,660,6,repairs
472,28,male,1,own,little,little,654,9,car
869,24,female,2,rent,little,little,652,12,furniture/equipment
619,49,male,1,own,little,NA,640,12,car
127,30,male,2,own,little,moderate,639,12,repairs
710,32,male,3,own,quite rich,NA,629,18,radio/TV
548,24,female,1,own,little,little,626,12,radio/TV
220,26,male,1,own,little,moderate,625,12,radio/TV
90,56,male,2,own,little,NA,618,12,radio/TV
439,26,female,0,own,little,rich,609,12,business
515,37,female,2,own,little,little,609,6,car
837,23,female,1,rent,little,NA,601,4,furniture/equipment
806,26,male,1,own,little,moderate,590,6,radio/TV
513,20,male,2,rent,little,moderate,585,12,radio/TV
179,65,male,2,own,little,little,571,21,car
933,42,male,2,own,quite rich,NA,522,12,radio/TV
451,29,female,2,own,little,NA,518,6,radio/TV
811,28,male,1,own,little,moderate,484,6,radio/TV
39,24,male,2,own,little,moderate,458,9,radio/TV
964,22,male,1,own,little,moderate,454,6,repairs
471,23,female,2,own,little,little,448,6,education
249,22,female,2,rent,little,NA,433,18,radio/TV
721,24,female,2,rent,rich,moderate,433,6,education
750,49,female,2,own,little,little,428,6,furniture/equipment
26,39,male,1,own,little,NA,426,6,radio/TV
27,42,female,2,rent,rich,rich,409,12,radio/TV
111,23,female,2,rent,little,rich,392,15,education
590,58,female,1,own,little,little,385,12,radio/TV
493,38,male,2,own,NA,moderate,368,6,radio/TV
379,52,female,1,own,moderate,NA,362,6,car
458,27,female,2,own,little,little,343,6,domestic appliances
157,45,male,1,own,little,little,339,12,education
177,52,male,2,own,quite rich,little,338,6,radio/TV
309,22,male,1,rent,little,moderate,276,9,car
725,41,female,1,own,rich,NA,250,6,car
